-1,Q9. Can you RT “I want to WIN FREE THIS_IS_A_MENTION tix from THIS_IS_A_MENTION the #OfficialProtein of the #Toronto Raptors!… THIS_IS_A_URL
-1,Next question will be for 2 tickets to a THIS_IS_A_MENTION home game! RT if your twitter fingers are ready for this one! #OfficialProtein #WeTheNorth
-1,Tonight's By The Numbers presented by THIS_IS_A_MENTION #WeTheNorth THIS_IS_A_URL
-1,"Can we get a RT if you're ready to WIN FREE THIS_IS_A_MENTION tickets tonight with the #OfficialProtein of the Raptors, THIS_IS_A_MENTION #WeTheNorth"
-1,"Q3. Hot Dogs, Chicken Fingers, or Wings? What’s your pick when you’re watching the THIS_IS_A_MENTION #OfficialProtein… THIS_IS_A_URL"
-1,"Hey THIS_IS_A_MENTION fans, want to WIN FREE TIX to a home game? Join the #OfficialProtein Twitter party happening NOW! #WeTheNorth #RTZ"
-1,Looking for the tastiest ideas &amp; recipes while you watch the THIS_IS_A_MENTION play? Don't forget to visit appehtite.ca! #OfficialProtein #WeTheNorth
-1,Not a good game. #wethenorth They are not in the right mood.
-1,Seeking #rockclimbing #inspiration #motivation #ReelRock11 THIS_IS_A_MENTION tonite #thethrillofthehills  #indoorinCanada #WinterIsHere #WeTheNorth
-1,Basically yelling at 2 screens right now. #TFC #RTZ #WeTheNorth
-1,I got shots at my school Side effects really hurt I got muscle spasms #RTZ  #ShowWithNoName #mindset #DeadRising4 #RTZ #WeTheNorth
-1,"Watch ""Episode 10 : Double Digits"" on YouTube THIS_IS_A_URL #TMLtalk #Toronto #wethenorth #RTZ"
1,Morning. #WeTheNorth THIS_IS_A_URL
1,"Past 👊🏾 Present. Welcome back, THIS_IS_A_MENTION #WeTheNorth THIS_IS_A_URL"
1,That's gonna be a popular cast at school tomorrow. 🖊 #WeTheNorth THIS_IS_A_URL
1,Tonight's THIS_IS_A_MENTION starting lineups. #WeTheNorth THIS_IS_A_URL
1,Superman in the house tonight. #RTZ #WeTheNorth THIS_IS_A_URL
1,Patterson called bank! #NBAVine #WeTheNorth THIS_IS_A_URL
1,"Past 👊🏾 Present. Welcome back, mrvincecarter15. #WeTheNorth THIS_IS_A_URL #GoCrushIt"
1,"Past 👊🏾 Present. Welcome back, mrvincecarter15. #WeTheNorth THIS_IS_A_URL"
1,"The 3rd-Quarter is underway and the #Raptors trail 65-62 to the #Grizzlies 

#WeTheNorth 

Listen Here - THIS_IS_A_URL"
1,#Grizzlies THIS_IS_A_MENTION THIS_IS_A_MENTION up and over #Raptors THIS_IS_A_MENTION #WetheNorth THIS_IS_A_MENTION during 1st half... THIS_IS_A_URL
1,"Lady behind me says ""Can you pretend you are my kids' mom and introduce them""?  Pressure is on;)  THIS_IS_A_MENTION THIS_IS_A_MENTION #WeTheNorth"
1,Lowry 30/58 3s. Its Kyle's time to shine! #WeTheNorth #RTZ
-1,Sure Bradley's been missing all night long KCP BUT you can't leave him that wide open..... #DetroitBasketball
-1,"Harris knocks down the 3 &amp; #DetroitBasketball is on a 9-2 run on NBATV #NBARapidReplay THIS_IS_A_URL

— NBA (NBA) December 1, 20…"
-1,Go to work Ish. #DetroitBasketball THIS_IS_A_URL
-1,As a piston fan. That is not a good call at all. #DetroitBasketball #BostonCeltics
-1,It's quiet as fuck in Boston #DetroitBasketball
-1,These refs are slowly losing control of this game...... #DetroitBasketball
-1,Close it out Pistons! #DetroitBasketball 9 mins left and up 8
-1,"Picked the worst day to bet against #detroitbasketball vs #celtics today. Their starting 5 shooting 68% up 10 at Q4..
CMON CELTS!🏀
#DETvsCEL"
-1,Your #LAClippers are going down tonight THIS_IS_A_MENTION #DetroitBasketball!!!
-1,"Tip Off 
Clippers(14-2)
@
Pistons(7-9)
#NBA #ItTakesEverything #DetroitBasketball"
-1,.THIS_IS_A_MENTION has a 5U #NBA Play in the #ItTakesEverything #DetroitBasketball game. Grab it here now for just $30!… THIS_IS_A_URL
-1,#DetroitBasketball #GoPistons #Pistons Stanley Johnson Suspended for Violating Team Rules: Latest Details and .. THIS_IS_A_URL
-1,Your THIS_IS_A_MENTION take on the Clippers at 7:30PM. THIS_IS_A_URL for broadcast info! Let's GO!… THIS_IS_A_URL
1,Plenty of highlights to be had in this one. #Pistons Playback recaps tonight's win in Charlotte. #DetroitBasketball THIS_IS_A_URL
1,#34 led everyone with 24 tonight. #DetroitBasketball. THIS_IS_A_MENTION THIS_IS_A_URL
1,Harris knocks down the 3 &amp; #DetroitBasketball is on a 9-2 run on THIS_IS_A_MENTION #NBARapidReplay THIS_IS_A_URL
1,Wired: Tobias talked about the key to tonight's win in our Quote of the Night. #DetroitBasketball THIS_IS_A_URL
1,Tobias was terrific last night for our THIS_IS_A_MENTION Power Performance. #DetroitBasketball THIS_IS_A_URL
1,Wired: Check in with the guys after last night's win in Charlotte. #DetroitBasketball THIS_IS_A_URL
1,Jon Leuer rises for the finish! #NBAVine #DetroitBasketball THIS_IS_A_URL
1,#NBAextra #DetroitBasketball 💪💪💪💪💪💪💪☺🏀👍So strong!
1,"Ish Smith, my goodness he cannot be stopped tonight. #Pistons #DetroitBasketball"
1,This game is so dope! #DetroitBasketball
1,Ish Smith is balling!!! They can not stop him! #DetroitBasketball
1,Why doesn't Ish always ball like this. Don't be a sometimes baller bro #DetroitBasketball
-1,These rappers now require more skill than the underdogs with more talent #GrindCity #StillMovin #HipHop
-1,"Harrison really has been watching Conley, he took his hesitation😂💪🏾 #GrindCity"
-1,I still think the THIS_IS_A_MENTION will lose by 10+. Great to see them competitive though. #GrindCity
-1,Wade Baldwin doesn't understand how to run an NBA offense. He just drives to the hoop every time. Rookie. #GrindCity
-1,"Ugly, ugly game. We will take that win, though. #GrizzNation #GrindCity THIS_IS_A_URL"
-1,"Atta way, Mike! Straight to the bus! #businesstrip #grindcity THIS_IS_A_URL"
-1,#TargetRun #dubchallenge #KevinLove #GrindCity #Survivor #TotalDivas #DALvsNSH #EmpireFox Who all have a #NiceSizeTurkeyAndHam #TBABY #Love
-1,"So. Darn. Stressful.😬😁😬
#GrindCity THIS_IS_A_URL"
-1,Did Conley just try to throw an alley to Z-Bo? #GrindCity  #Nba
-1,Ilyasova sounds like some dirty Russian bathtub vodka... Hit your free throws THIS_IS_A_MENTION #GrindCity
-1,The Philadelphia announcers just made fun of Big Marc for speaking Spanish... Real professional guys #grizzlies #GrindCity #76ers #Weak
-1,Ilyasova needs to get fined for all of the flopping he's doing tonight. Get'em Grizzlies #GrindCity
1,".""THIS_IS_A_MENTION dunk"" is pretty much a scheduled tweet at this point. #GrindCity THIS_IS_A_URL"
1,"Woah, that HUSTLE by THIS_IS_A_MENTION #GrindCity"
1,We're back at it Wednesday in Toronto. #GrindCity THIS_IS_A_URL
1,It's time. #GrindCity THIS_IS_A_URL
1,Very limited roster tonight for THIS_IS_A_MENTION in TOR. But broadcast on THIS_IS_A_MENTION will have a full roster starting at 6 pm CT. #GrindCity
1,THIS_IS_A_MENTION I apologize for all the bad things I've said about you're proving me wrong each and every game! #GrindCity
1,.THIS_IS_A_MENTION assistant coach Bob Bender talks to THIS_IS_A_MENTION about keeping the team disciplined in the 2nd half.… THIS_IS_A_URL
1,THIS_IS_A_MENTION glad to know there are more grizzlies fans in my area. Hope to go to a watch party soon! 🙏🏾 #GrindCity
1,A little THIS_IS_A_MENTION at a THIS_IS_A_MENTION game never hurt anyone 🙌🏼 #GrindCity THIS_IS_A_URL
